idx,name_roi,stiffness (N/micron),mean VM stress (N/cm2),DA,Radius a,Radius b,Radius c,m00,m01,m02,m10,m11,m12,m20,m21,m22,D1,D2,D3,Tb.Th Mean (µm),Tb.Th Std Dev (µm),Tb.Th Max (µm),Tb.Sp Mean (µm),Tb.Sp Std Dev (µm),Tb.Sp Max (µm),Euler char. (χ),Corr. Euler (χ + Δχ),Connectivity,Conn.D (µm⁻³),BV (micron³),TV (micron³),BV/TV,name_bone
241,Segmentation-grayscale-1_119-65739,21.59697392,4.298029171,0.467306465,15.22171823,15.91445993,20.85570934,0.905427903,-0.368789685,-0.210224833,-0.3814518,-0.924133509,-0.021720547,-0.186265499,0.09985703,-0.977411754,0.002299059,0.003948355,0.004315913,348.727745,72.46594058,967.9227905,920.1966945,279.0400902,1946.690552,-7341,-7716.125,7717.125,2.12E-09,8.71E+11,3.65E+12,0.238951704,Segmentation-grayscale_119-65739
253,Segmentation-grayscale-10_119-65739,21.71687782,4.260091299,0.474418761,15.23897617,15.86617995,21.0201525,0.908917979,-0.354455562,-0.219611845,-0.370074329,-0.928409331,-0.033182912,-0.192127818,0.111433252,-0.975022837,0.002263228,0.003972421,0.004306143,349.9899888,71.38714284,739.8562622,917.0194594,280.6742963,1973.542725,-7280,-7663.125,7664.125,2.10E-09,8.71E+11,3.65E+12,0.238816593,Segmentation-grayscale_119-65739
128,Segmentation-grayscale-2_119-65739,16.09181624,4.969084061,0.425549863,16.0123143,16.22830427,21.12651865,0.979261081,-0.023909962,-0.2011866,0.045590696,0.993549471,0.10383129,0.197406238,-0.110850179,0.974034401,0.002240496,0.003797115,0.003900244,352.4791392,82.87070332,1046.314697,1007.326564,532.1567971,3834.810303,-7160,-7501.125,7502.125,2.06E-09,8.35E+11,3.65E+12,0.229059333,Segmentation-grayscale_119-65739
122,Segmentation-grayscale-3_119-65739,20.3374363,4.363725924,0.397256592,15.51000703,15.67205521,19.97771254,0.457971926,-0.872804274,-0.168743636,0.870278956,0.478909766,-0.115151965,-0.181318103,0.094117668,-0.97891042,0.002505581,0.004071441,0.004156962,354.0960213,76.49115184,827.1844482,936.00309,355.0374761,2889.230957,-7712,-8062.25,8063.25,2.21E-09,8.87E+11,3.65E+12,0.243233519,Segmentation-grayscale_119-65739
118,Segmentation-grayscale-4_119-65739,18.50474102,4.691699944,0.458433417,14.71996016,15.54942591,20.00233539,0.944708995,-0.2325308,-0.23120195,-0.252692316,-0.965598287,-0.061372151,-0.208977291,0.11640178,-0.970968134,0.002499416,0.004135912,0.00461516,350.5942693,88.80825692,1337.735229,896.6965934,280.7058303,1976.207886,-7856,-8214,8215,2.25E-09,8.99E+11,3.65E+12,0.246710185,Segmentation-grayscale_119-65739
27,Segmentation-grayscale-5_119-65739,19.8887467,4.417045277,0.357302773,16.20244925,16.52223463,20.21051856,0.29940555,-0.946817292,-0.117869978,0.942548336,0.312693436,-0.11758167,-0.148185527,0.075893547,-0.986043214,0.00244819,0.003663215,0.003809243,362.0612993,91.01265678,917.678833,1447.3357,1895.798903,8702.842773,-7541,-7881.375,7882.375,2.16E-09,8.69E+11,3.65E+12,0.238333556,Segmentation-grayscale_119-65739
294,Segmentation-grayscale-6_119-65739,14.2120113,5.259483028,0.411114716,16.83785499,17.11490179,21.94175767,0.980647706,-0.059777057,-0.186431702,0.077652019,0.992901337,0.090094947,0.179722675,-0.102828201,0.978328228,0.002077099,0.003413903,0.003527171,361.0387787,97.17895182,1031.113159,1462.356646,1803.32584,7972.458496,-6739,-7065.375,7066.375,1.94E-09,8.08E+11,3.65E+12,0.221722741,Segmentation-grayscale_119-65739
111,Segmentation-grayscale-7_119-65739,17.71485588,4.809557412,0.430819492,14.69599337,15.43263356,19.47932655,0.957849987,-0.178526715,-0.225059135,-0.198589624,-0.977599664,-0.069721284,-0.207570623,0.11147694,-0.971847379,0.002635434,0.004198749,0.004630225,356.0605513,100.681038,1337.735229,891.9024221,289.3021992,1984.181763,-8207,-8512.125,8513.125,2.34E-09,9.11E+11,3.65E+12,0.250027704,Segmentation-grayscale_119-65739
599,Segmentation-grayscale-8_119-65739,19.56527323,4.501891288,0.42466389,15.91030572,16.04777782,20.97576015,0.537505886,-0.82484491,-0.17526636,0.824139,0.557855937,-0.097937034,-0.178556243,0.091802111,-0.979637709,0.002272818,0.003883025,0.003950417,352.1193767,78.58618763,833.5231323,973.4088212,429.043226,3586.586426,-7306,-7645.75,7646.75,2.10E-09,8.48E+11,3.65E+12,0.232636185,Segmentation-grayscale_119-65739
21,Segmentation-grayscale-9_119-65739,9.939561325,6.291100601,0.363420491,17.27588582,18.05862679,21.65279667,0.976266178,0.113176519,-0.184649464,0.081476714,-0.981888222,-0.171046966,-0.200663634,0.151942736,-0.967805513,0.002132907,0.003066412,0.003350575,386.9504513,168.6785423,1605.937988,1619.627934,2010.717533,8498.444336,-6541,-6788.5,6789.5,1.86E-09,7.94E+11,3.65E+12,0.217857259,Segmentation-grayscale_119-65739
