idx,name_roi,min_angle_mil,inter_angle_mil,main_angle_mil,min eigenvalues_mil,inter eigenvalues_mil,main_eigenvalues_mil,main_angle_gst,inter_angle_gst,min_angle_gst,main_eigenvalues_gst,inter eigenvalues_gst,min eigenvalues_gst
241,Segmentation-grayscale-1_119-65739,77.86447164,88.75540645,12.20112241,0.002299059,0.003948355,0.004315913,73.55518455,88.49230678,16.51771218,862622.3125,800254.875,560304.375
253,Segmentation-grayscale-10_119-65739,77.31376419,88.09841011,12.83267836,0.002263228,0.003972421,0.004306143,73.06455308,88.16933038,17.04007136,861378.8125,805815.125,553398.5625
128,Segmentation-grayscale-2_119-65739,78.39364325,84.04016364,13.08522011,0.002240496,0.003797115,0.003900244,73.53335411,85.10431394,17.21905028,811321.5,788890.5,554910.25
122,Segmentation-grayscale-3_119-65739,80.28522057,83.38760977,11.78793745,0.002505581,0.004071441,0.004156962,74.66098147,86.06716883,15.85934465,834783.75,815166.25,587542.75
118,Segmentation-grayscale-4_119-65739,76.63215411,86.48142359,13.83985183,0.002499416,0.004135912,0.00461516,74.66098147,86.79525848,17.54657529,894876.8125,821110.875,582945.3125
27,Segmentation-grayscale-5_119-65739,83.23081115,83.24744566,9.583778246,0.00244819,0.003663215,0.003809243,74.66098147,84.37674793,12.85685382,796423.625,762239.875,590925.3125
294,Segmentation-grayscale-6_119-65739,79.2553848,84.83093066,11.95012112,0.002077099,0.003413903,0.003527171,74.66098147,86.86261462,16.30169977,772292.375,744775.5,536870.875
111,Segmentation-grayscale-7_119-65739,76.99364446,86.00202114,13.62765792,0.002635434,0.004198749,0.004630225,74.66098147,85.71748836,17.5238711,891007.25,827493.125,603020.375
599,Segmentation-grayscale-8_119-65739,79.90584102,84.37961195,11.58218919,0.002272818,0.003883025,0.003950417,74.66098147,86.82663758,16.08926284,816232.75,793446.1875,563197.5625
21,Segmentation-grayscale-9_119-65739,79.35930392,80.15130256,14.5780851,0.002132907,0.003066412,0.003350575,74.66098147,79.88677306,17.63608064,741856.75,703274.75,548383
304,Segmentation-grayscale-1_119-65739_2,88.4329667,88.70294705,2.034399031,0.002901988,0.003700856,0.003821648,74.66098147,88.88378983,3.309259766,785969.0625,756446.9375,646224.3125
651,Segmentation-grayscale-10_119-65739_2,86.71904741,85.67548604,5.432046173,0.003014891,0.004253911,0.00434367,74.66098147,84.01104241,7.66344501,832414.5625,819848.625,657166.0625
580,Segmentation-grayscale-2_119-65739_2,89.72406229,89.71276766,0.398303043,0.002830879,0.00362502,0.003762544,74.66098147,89.48582918,1.310001946,785202.25,746094.0625,635049.9375
420,Segmentation-grayscale-3_119-65739_2,86.89768266,87.35481879,4.078610647,0.003266758,0.004438707,0.004479072,74.66098147,87.0093403,5.17100592,853137.4375,834941.75,688795.8125
133,Segmentation-grayscale-4_119-65739_2,84.59969598,87.53006423,5.941395356,0.003144992,0.004143781,0.004178583,74.66098147,86.34421699,7.418968755,815828.9375,807088.125,676750.4375
305,Segmentation-grayscale-5_119-65739_2,85.5925295,86.90361101,5.389935136,0.003064441,0.003953085,0.00403589,74.66098147,87.46379495,6.234355451,804984.125,785361.125,667558.75
32,Segmentation-grayscale-6_119-65739_2,89.85102066,89.07860078,0.933367685,0.002768159,0.003562381,0.003746148,74.66098147,89.64428891,0.743094818,784650.9375,741655.9375,629831.875
537,Segmentation-grayscale-7_119-65739_2,88.61391376,85.00499914,5.184692905,0.003198145,0.004482184,0.004606268,74.66098147,83.66235936,6.911456763,859434.625,848285.125,681308.75
562,Segmentation-grayscale-8_119-65739_2,88.6024965,89.01015213,1.712659787,0.002684464,0.003329896,0.003468764,74.66098147,88.32353269,3.023361722,751006.5625,715410.375,627849.625
328,Segmentation-grayscale-9_119-65739_2,89.6461314,85.01033218,5.002263818,0.003280581,0.004462681,0.004469991,74.66098147,87.57658826,6.772249133,846953.875,842140.25,687758.625
492,Segmentation-grayscale-1_1216-67960-L45,80.82159226,67.48953366,24.50368112,0.000789141,0.00162459,0.002023907,74.66098147,67.85273227,29.26040509,595328.75,535577.4375,311707.0625
102,Segmentation-grayscale-10_1216-67960-L45,81.31280682,67.61839947,24.18195663,0.000927973,0.001673213,0.002146982,74.66098147,67.46127072,28.71421724,609026.25,536703.4375,346004.3438
105,Segmentation-grayscale-2_1216-67960-L45,84.17862526,62.23055506,28.47838458,0.000766332,0.00137691,0.001906934,74.66098147,59.50991719,32.51053335,565090.4375,496135.875,312576.6875
279,Segmentation-grayscale-3_1216-67960-L45,80.43657721,67.73435241,24.4390589,0.000841013,0.001696209,0.002037978,74.66098147,69.73331035,28.89388318,596812.125,545466.375,323908.25
171,Segmentation-grayscale-4_1216-67960-L45,73.64371507,68.77425446,27.30140147,0.000590333,0.001358608,0.001639347,74.66098147,75.22468981,31.62503079,556360.25,481146.6563,259224.875
473,Segmentation-grayscale-5_1216-67960-L45,78.99105648,68.49652415,24.41338614,0.00090087,0.001764766,0.002074457,74.66098147,71.50289332,28.97905594,604367.25,548684.875,336172.9063
12,Segmentation-grayscale-6_1216-67960-L45,78.69695407,69.05468563,24.05932982,0.000940233,0.001764387,0.002033785,74.66098147,72.67587465,28.24422951,593256,544769.75,345141.75
508,Segmentation-grayscale-7_1216-67960-L45,82.13752468,66.06699654,25.34779158,0.000862561,0.001463781,0.001812587,74.66098147,66.1296534,30.31638878,555959.6875,501241.1875,332335.3438
164,Segmentation-grayscale-8_1216-67960-L45,65.57965443,81.71991504,25.96310319,0.000589744,0.001536081,0.001797916,74.66098147,84.19745751,30.47493647,601922.375,500303.125,257342.9531
409,Segmentation-grayscale-9_1216-67960-L45,68.19810512,75.78223452,26.44023935,0.000781721,0.001775668,0.002012233,74.66098147,81.89561877,30.84170408,623910.625,542713.625,302736.25
30,Segmentation-grayscale-1_1216-67960-L45_2,65.09776077,73.05720982,30.80239684,0.000755355,0.001519492,0.00159259,74.66098147,83.20782802,34.47865661,549824.9375,499163.5625,303257.2188
454,Segmentation-grayscale-10_1216-67960-L45_2,69.77135226,69.69842286,29.32967201,0.000796423,0.001900667,0.002063979,74.66098147,77.85369931,33.35816872,634971,565214.125,302959.625
81,Segmentation-grayscale-2_1216-67960-L45_2,79.54486866,62.20690934,30.02293385,0.000702789,0.001758655,0.001894434,74.66098147,74.82048916,33.73050461,601830,551638.125,283864.875
504,Segmentation-grayscale-3_1216-67960-L45_2,64.94823347,74.61895446,29.97681166,0.000809169,0.001703745,0.001848053,74.66098147,81.18642001,33.87593745,597688.125,529582.6875,308219.6563
19,Segmentation-grayscale-4_1216-67960-L45_2,67.3696143,73.10963675,28.82625545,0.000788355,0.001800033,0.002018623,74.66098147,77.69769851,33.02562721,626860,545305.125,299061.625
461,Segmentation-grayscale-5_1216-67960-L45_2,74.59115952,65.73301954,29.30106674,0.000708843,0.001434502,0.001512068,74.66098147,79.07640767,33.54442204,533074.375,489042.375,294317.75
156,Segmentation-grayscale-6_1216-67960-L45_2,66.26170518,71.90738703,30.55910972,0.000779981,0.001597071,0.001673318,74.66098147,82.25457594,34.43800551,565109.5,512881.5313,307452.9375
