,deep_feature 512,deep_feature 259,deep_feature 49,deep_feature 253,deep_feature 248,deep_feature 57,deep_feature 59,deep_feature 64,deep_feature 67,deep_feature 234,deep_feature 232,deep_feature 58,deep_feature 272,deep_feature 274,deep_feature 318,deep_feature 12,deep_feature 310,deep_feature 19,deep_feature 301,deep_feature 299,deep_feature 143,deep_feature 27,deep_feature 290,deep_feature 285,deep_feature 281,deep_feature 33,deep_feature 35,deep_feature 322,deep_feature 73,deep_feature 110,deep_feature 190,deep_feature 188,deep_feature 186,deep_feature 184,deep_feature 177,deep_feature 127,deep_feature 201,deep_feature 132,deep_feature 155,deep_feature 153,deep_feature 137,deep_feature 105,deep_feature 104,deep_feature 224,deep_feature 223,deep_feature 221,deep_feature 86,deep_feature 212,deep_feature 210,deep_feature 93,deep_feature 94,deep_feature 511,deep_feature 101,deep_feature 102,deep_feature 324,deep_feature 439,deep_feature 432,deep_feature 422,deep_feature 415,deep_feature 404,deep_feature 403,deep_feature 402,deep_feature 398,deep_feature 452,deep_feature 507,deep_feature 506,deep_feature 500,deep_feature 494,deep_feature 489,deep_feature 481,deep_feature 473,deep_feature 468,deep_feature 464,deep_feature 461,deep_feature 397,deep_feature 144,deep_feature 343,deep_feature 364,deep_feature 362,deep_feature 367,deep_feature 369,deep_feature 339,deep_feature 1,deep_feature 394,deep_feature 388,deep_feature 328,deep_feature 329,deep_feature 340,deep_feature 363,deep_feature 185,deep_feature 475,deep_feature 192,deep_feature 147,deep_feature 173,deep_feature 161,deep_feature 164,deep_feature 349,deep_feature 270,deep_feature 428,deep_feature 235,deep_feature 411,deep_feature 238,deep_feature 400,deep_feature 434,deep_feature 435,deep_feature 276,deep_feature 458,deep_feature 356,deep_feature 203,deep_feature 357,deep_feature 359,deep_feature 449,deep_feature 278,deep_feature 366,deep_feature 122,deep_feature 66,deep_feature 71,deep_feature 112,deep_feature 100,deep_feature 53,deep_feature 7,deep_feature 96,deep_feature 24,deep_feature 91
original_glcm_DifferenceEntropy,0.812441777,0.820199793,0.762697846,0.816664045,0.783020622,0.837649856,0.779654331,0.81121422,0.810267276,0.81152679,0.777417157,0.81223619,0.79554863,0.782346135,0.785475125,0.756866779,0.799016563,0.788254042,0.797648126,0.79025925,0.835540978,0.803042545,0.808960334,0.829674552,0.819898889,0.788443701,0.807280905,0.820780303,0.774727885,0.759785632,0.825355222,0.774766438,0.796351762,0.807647051,0.800597465,0.784446309,0.78777767,0.80412314,0.785467471,0.803035934,0.821119884,0.783668274,0.806607403,0.767752123,0.798250809,0.775191628,0.784366734,0.809200684,0.77631769,0.790749638,0.77140001,0.812474011,0.82464186,0.812016396,0.801810482,0.806632994,0.821379738,0.830967724,0.830277662,0.826661853,0.797858851,0.815009759,0.802013025,0.783239793,0.745987008,0.811474637,0.797334804,0.774708933,0.80539545,0.827284311,0.784948932,0.833534932,0.774204086,0.818945276,0.807782108,0.755353758,0.789624866,0.825930825,0.798319581,0.791415607,0.823104094,0.790680023,0.82082204,0.822215484,0.788353616,-0.819485479,0.834384773,0.835863098,0.776040791,0.754762709,0.826542364,-0.787164576,0.798179145,0.84241379,0.789180339,0.76688602,0.804438799,0.816580999,0.818376921,0.78320693,0.834811483,0.793338032,0.727671196,0.774151132,0.800043741,0.822313097,0.798378018,0.804349613,0.840160041,0.771093924,0.774744349,0.838717637,0.804429462,0.77758782,0.838790795,0.811663896,0.796784545,-0.832401782,0.820708939,0.838211164,-0.817602522,0.828178612,0.798181019,0.788972963
original_glcm_DifferenceVariance,0.771980001,0.780880255,0.763345281,0.77109929,0.762544553,0.798960651,0.770998328,0.793602645,0.781270745,0.800781713,0.768571667,0.786140007,0.78502201,0.695755094,0.709132135,0.751616932,0.794384654,0.742482781,0.765681351,0.74894881,0.81363064,0.728265805,0.748189659,0.803066631,0.774637666,0.783810438,0.770503597,0.798644531,0.778552648,0.798198039,0.795786734,0.753590055,0.772880418,0.763084695,0.760422237,0.740160383,0.761382004,0.789831121,0.766595167,0.762056248,0.801004684,0.75931197,0.768529693,0.777374521,0.772499768,0.747834557,0.746142854,0.786142242,0.713786843,0.755672878,0.732904293,0.800132058,0.809995464,0.737457947,0.777495425,0.790871861,0.793123594,0.820667305,0.830848009,0.778866656,0.745645152,0.754510284,0.792760279,0.764493083,0.761455902,0.732864467,0.722044233,0.679890384,0.791850267,0.777275608,0.76275302,0.770895594,0.711543338,0.792967949,0.776340074,0.736330786,0.749991518,0.79901959,0.778366712,0.783410665,0.794331235,0.767823442,0.770028797,0.775876489,0.776022801,-0.732760901,0.844601807,0.81785142,0.740041432,0.766109369,0.785773306,-0.763536441,0.74877159,0.797714145,0.76786481,0.742626404,0.771290367,0.772338054,0.792576076,0.761537946,0.778040031,0.736096792,0.798695629,0.744306222,0.763879363,0.816165419,0.782414875,0.775924491,0.782265348,0.782061691,0.762983781,0.780177145,0.788395319,0.760465773,0.793141527,0.751234429,0.768988506,-0.772182082,0.782919332,0.806597334,-0.780663855,0.791329986,0.742352349,0.734189232
original_glcm_Idmn,-0.837965943,-0.852201944,-0.802574457,-0.844095466,-0.821751503,-0.868975448,-0.821563867,-0.840705906,-0.850387288,-0.843411975,-0.823227541,-0.846775651,-0.840925298,-0.787424256,-0.80637179,-0.803845206,-0.846342856,-0.809860702,-0.842356714,-0.828127891,-0.870565983,-0.820719455,-0.830269686,-0.86516674,-0.850514364,-0.834604646,-0.844553139,-0.854681337,-0.814489579,-0.804017231,-0.85705988,-0.821936805,-0.82644581,-0.839586469,-0.837494342,-0.811692386,-0.826650568,-0.840355672,-0.823791487,-0.832023842,-0.850138543,-0.819916522,-0.845370022,-0.800015958,-0.838157029,-0.81399894,-0.81512987,-0.853859151,-0.810099645,-0.818555482,-0.807741613,-0.85329856,-0.859403234,-0.825703438,-0.842198407,-0.855688496,-0.854122304,-0.876828772,-0.87078666,-0.856298336,-0.829432099,-0.838876871,-0.845190615,-0.829602618,-0.799593534,-0.819895945,-0.811010153,-0.783587943,-0.844196309,-0.861668806,-0.818773595,-0.85530114,-0.802241964,-0.855790654,-0.844188925,-0.799907994,-0.818688228,-0.863775408,-0.827876871,-0.839816173,-0.857613339,-0.827727169,-0.839959063,-0.839895418,-0.831018139,0.801340342,-0.884188519,-0.870534217,-0.815857877,-0.799240453,-0.854276055,0.806506091,-0.81164612,-0.858491444,-0.818432816,-0.801230083,-0.826418535,-0.844935206,-0.847847913,-0.825017265,-0.847864467,-0.81148846,-0.790140211,-0.812242334,-0.827837614,-0.864540538,-0.827839255,-0.843757983,-0.866814458,-0.80485282,-0.805710836,-0.85231394,-0.826205201,-0.805171099,-0.862754219,-0.828421031,-0.83054955,0.842966684,-0.851150906,-0.862598991,0.826864532,-0.851196013,-0.817708321,-0.813144221
original_glcm_Idn,-0.814132299,-0.827121953,-0.761484565,-0.822281254,-0.789427626,-0.842755718,-0.783717398,-0.806549452,-0.820326804,-0.806443639,-0.785084684,-0.815988282,-0.802462858,-0.787154638,-0.799664982,-0.764906987,-0.805353875,-0.790320057,-0.813698523,-0.804375927,-0.837232373,-0.812960872,-0.815947162,-0.83296017,-0.827789774,-0.79418531,-0.817694335,-0.821438834,-0.772485553,-0.7481855,-0.82777407,-0.789554119,-0.795725887,-0.816748297,-0.812641752,-0.790806653,-0.796011228,-0.804405521,-0.790119274,-0.808576813,-0.817942023,-0.789027484,-0.818787317,-0.756460875,-0.807289194,-0.784798041,-0.790873283,-0.82021795,-0.795500678,-0.793102749,-0.784255692,-0.815838921,-0.823693121,-0.818700991,-0.810604992,-0.817889915,-0.823653454,-0.836758925,-0.82757814,-0.834751865,-0.810089548,-0.823208656,-0.806526928,-0.794872856,-0.750870176,-0.814254439,-0.804242612,-0.786613334,-0.808139736,-0.839755858,-0.787997361,-0.840661115,-0.788896504,-0.824351892,-0.815376269,-0.766825051,-0.795268586,-0.832359291,-0.796029585,-0.800672274,-0.827494215,-0.796803933,-0.821275959,-0.819475311,-0.794506226,0.80436837,-0.835354499,-0.835250427,-0.789834207,-0.75374662,-0.829710111,0.777601763,-0.793802801,-0.836326832,-0.787090865,-0.771304033,-0.800084383,-0.821952402,-0.817432179,-0.792412519,-0.83229211,-0.796724602,-0.718300106,-0.783347499,-0.802220629,-0.823901044,-0.79368364,-0.813693937,-0.848641024,-0.760138253,-0.771019349,-0.836655548,-0.793094599,-0.772939248,-0.840206154,-0.814133238,-0.800414159,0.82822836,-0.824997742,-0.834055556,0.803389753,-0.825836827,-0.801426746,-0.796400493
original_glcm_DifferenceAverage,0.823792619,0.837146236,0.774826102,0.831531869,0.800910098,0.853127341,0.796449618,0.818541817,0.831460781,0.819080249,0.797887055,0.827261351,0.81542855,0.79128502,0.805345582,0.777785256,0.81891501,0.798885608,0.824480976,0.813982207,0.849200399,0.81893918,0.823444309,0.844637641,0.837270866,0.807553915,0.828077096,0.833297138,0.786102746,0.764850914,0.83876668,0.801066352,0.806879176,0.82620062,0.822538176,0.799683244,0.807149276,0.816800264,0.801914943,0.818128733,0.829552684,0.800179211,0.829109474,0.770344652,0.818539648,0.795542373,0.800510472,0.832171504,0.802956763,0.803031183,0.793699282,0.828643124,0.836136889,0.824543977,0.822040459,0.830772316,0.834892033,0.850271226,0.841756864,0.844006766,0.818707456,0.831046308,0.819552199,0.806939753,0.765909777,0.819745243,0.809945079,0.789985293,0.820583066,0.849117486,0.799128328,0.848357355,0.796026806,0.835817721,0.826183711,0.778373831,0.80474269,0.843868995,0.807440295,0.813790565,0.838675447,0.808014619,0.829796517,0.828391723,0.806978939,-0.807851452,0.850869657,0.84765481,0.799882288,0.768072258,0.839625547,-0.788240818,0.801986518,0.845723753,0.798335347,0.782140628,0.810247369,0.831465896,0.828629078,0.803987002,0.840164004,0.804223369,0.73846979,0.79401256,0.812229341,0.837478965,0.805605487,0.824797511,0.857191398,0.774311748,0.782950494,0.844563952,0.804771425,0.784311871,0.849710842,0.821608535,0.811452411,-0.83588094,0.835252831,0.844901597,-0.812914412,0.835914194,0.809296854,0.80435933
original_glcm_Contrast,0.836427307,0.851190314,0.803528866,0.842622118,0.821486855,0.86822402,0.822711752,0.840954451,0.850155437,0.843865648,0.824261099,0.846472985,0.841917118,0.78327613,0.803462959,0.804929742,0.847674398,0.808346604,0.84205901,0.827094013,0.870622313,0.817351362,0.827782732,0.86466765,0.8488316,0.835750834,0.843783854,0.854595598,0.815967334,0.80775691,0.856753925,0.822330191,0.826263327,0.838059611,0.836332655,0.810312833,0.826573568,0.840864168,0.823878284,0.830776809,0.850149984,0.819626517,0.844390866,0.801442442,0.838087893,0.813416496,0.813780806,0.854140361,0.807673417,0.817630237,0.806856172,0.85404376,0.859976924,0.822504694,0.842209006,0.856047846,0.853821507,0.877809568,0.872176931,0.854737604,0.827531634,0.836255224,0.845911215,0.829935323,0.801790337,0.816084968,0.807459694,0.778957856,0.844764657,0.860050666,0.818802977,0.852660682,0.79957244,0.855575999,0.843234102,0.800273968,0.817437775,0.863885906,0.827847673,0.841075091,0.857305633,0.827703398,0.837938615,0.83834512,0.831600409,-0.797916616,0.886538412,0.870804149,0.815131422,0.801509912,0.852991846,-0.806010165,0.809624445,0.856942124,0.818221154,0.80090778,0.825454777,0.843641181,0.847649104,0.82537149,0.84578911,0.809132209,0.795621534,0.81176419,0.826733375,0.86588457,0.827950556,0.843762296,0.864800482,0.806652567,0.806152417,0.849923897,0.826251433,0.805115253,0.861072802,0.825764359,0.830196893,-0.840416335,0.850231041,0.861898646,-0.825505934,0.850283991,0.815554583,0.811469667
main_eigenvalues_gst,0.776547498,0.800138567,0.738836455,0.794320156,0.77099318,0.819553568,0.776979572,0.791966344,0.798915231,0.783345208,0.761599205,0.802807801,0.786891097,0.735266889,0.756536558,0.750634806,0.80441576,0.77354651,0.780859394,0.775453967,0.817610725,0.761309276,0.767834463,0.799950421,0.802882974,0.783494385,0.779093552,0.789518181,0.765783692,0.755324514,0.807085012,0.766193731,0.778459105,0.778477768,0.783190927,0.759207449,0.770405529,0.778322454,0.754212027,0.784361379,0.795447991,0.761102338,0.778584819,0.740927522,0.784189999,0.765826116,0.76125193,0.799018903,0.752537799,0.761307428,0.756290579,0.806141437,0.812137057,0.772530858,0.790547821,0.784061344,0.799800695,0.818394725,0.80957322,0.804889909,0.765420084,0.787743606,0.802288361,0.767243468,0.743380763,0.754401687,0.750925375,0.732698053,0.794505955,0.797844849,0.779556611,0.794224045,0.743048243,0.800491876,0.777053822,0.754223111,0.763831625,0.809243239,0.76983935,0.789014186,0.793158853,0.782047488,0.770232864,0.784031218,0.79314851,-0.774926773,0.825799237,0.819323576,0.760139547,0.747698076,0.795676907,-0.776637478,0.760548364,0.813021889,0.764459548,0.746512326,0.771029073,0.795337651,0.811041549,0.775792975,0.796810279,0.772522521,0.742917451,0.75632124,0.773067407,0.806236347,0.779134725,0.794317771,0.810021263,0.773594457,0.737416891,0.801318347,0.775979475,0.739113223,0.810410677,0.77715314,0.771357775,-0.79639868,0.799266843,0.811397636,-0.784671766,0.799340138,0.776480909,0.766176765
inter eigenvalues_gst,0.804625062,0.813681016,0.790315508,0.814593173,0.785267591,0.828842033,0.791444169,0.810659227,0.816939228,0.821409939,0.803501194,0.815258672,0.817735411,0.735454926,0.754526292,0.784094027,0.82296535,0.785609286,0.812907356,0.79256885,0.836953162,0.774853237,0.792693448,0.844560714,0.810672725,0.811413515,0.809042685,0.831387512,0.798461943,0.810276471,0.828420669,0.790928421,0.800895741,0.799332464,0.801200204,0.773416195,0.795775654,0.822433147,0.796404564,0.797645508,0.817022668,0.79746476,0.814507677,0.791463964,0.808682395,0.780653163,0.776019441,0.825632704,0.764654539,0.782785841,0.764052152,0.825666571,0.835150804,0.773675292,0.810011026,0.832755357,0.824425153,0.847285288,0.857416917,0.819753977,0.788745872,0.809785954,0.820728499,0.804756773,0.78586223,0.783522577,0.769051697,0.725854659,0.816006717,0.824864946,0.78506739,0.813042285,0.756141236,0.826650975,0.814963561,0.771471172,0.788549669,0.831106553,0.802854333,0.809689001,0.831309001,0.791699272,0.808433081,0.800464934,0.805673057,-0.749617615,0.864795143,0.843682866,0.785576795,0.788363174,0.820080454,-0.774141667,0.779031551,0.824828398,0.795480744,0.780679261,0.801577248,0.814106192,0.81912867,0.796498542,0.819638841,0.775873108,0.80698649,0.790828956,0.801724037,0.845473941,0.817241381,0.811195972,0.833031755,0.797184176,0.786889826,0.812168723,0.805973269,0.786541161,0.83368265,0.79126348,0.807843354,-0.803801783,0.819456627,0.836263586,-0.797295085,0.823736411,0.786653686,0.777401112
original_glszm_SmallAreaEmphasis,0.77701537,0.779280247,0.759256175,0.785630981,0.761964717,0.793962836,0.758629113,0.783972463,0.778216605,0.797956558,0.752285231,0.791348741,0.776936175,0.710243979,0.708430924,0.74139755,0.789475708,0.758434747,0.757917706,0.748389072,0.80631554,0.735912867,0.748033308,0.809757006,0.790639807,0.775433686,0.761439436,0.792438681,0.776286295,0.780955177,0.794354898,0.737443985,0.78161585,0.764280006,0.768900049,0.739344231,0.748504066,0.778607218,0.757643168,0.771952581,0.798318225,0.761928562,0.768638726,0.775578317,0.767942375,0.756529597,0.748008959,0.780197796,0.715677015,0.752245069,0.726198502,0.793061232,0.806304032,0.738400749,0.772205564,0.782255241,0.790598559,0.809253545,0.819869086,0.786356955,0.745356356,0.78124602,0.791815889,0.751742733,0.744646651,0.745033391,0.733896799,0.692292017,0.785132868,0.777467736,0.761635036,0.777551914,0.711492914,0.789146508,0.778563855,0.730898365,0.756627142,0.788035258,0.778437713,0.765951624,0.786041006,0.76039426,0.774449174,0.77613953,0.777645748,-0.729636599,0.822920149,0.823333478,0.739201182,0.751257929,0.791664077,-0.782408664,0.76143335,0.810938708,0.772377134,0.746661968,0.783960645,0.778660995,0.80311224,0.752672284,0.787053014,0.756237187,0.787909602,0.751794707,0.772822627,0.800169513,0.792738107,0.770999713,0.788569854,0.796258526,0.753066929,0.791736113,0.792477152,0.754873603,0.809637785,0.770649114,0.770705834,-0.790694298,0.782797474,0.812230125,-0.808925059,0.793638521,0.764979529,0.733488105
original_ngtdm_Strength,-0.750703939,-0.755091072,-0.684229921,-0.752707987,-0.713349558,-0.770173454,-0.70010744,-0.737772181,-0.735294602,-0.739330841,-0.698225044,-0.737629646,-0.709931916,-0.743659116,-0.734701397,-0.681161405,-0.709934441,-0.727423711,-0.72402533,-0.7235489,-0.762365147,-0.753804866,-0.757481045,-0.753769793,-0.752540163,-0.707260547,-0.738329514,-0.750573472,-0.694121571,-0.674162002,-0.754085593,-0.701916276,-0.723881215,-0.740381052,-0.729361961,-0.725024724,-0.714670754,-0.728810271,-0.709621159,-0.735431088,-0.75897926,-0.710599924,-0.73427908,-0.695616423,-0.726821368,-0.700822584,-0.718316861,-0.726224481,-0.713554398,-0.727515995,-0.712141638,-0.731258758,-0.75170179,-0.767170476,-0.729204812,-0.72199956,-0.748214725,-0.746351074,-0.749380866,-0.762719343,-0.733933504,-0.752058551,-0.721826335,-0.706263147,-0.658079448,-0.769877297,-0.75086799,-0.739388752,-0.730814424,-0.758286117,-0.718303119,-0.780239244,-0.717676427,-0.745617135,-0.736801117,-0.673644834,-0.724618709,-0.750563479,-0.730331373,-0.70995827,-0.755551808,-0.723376388,-0.767571032,-0.762309455,-0.705854958,0.803351098,-0.746687089,-0.760896057,-0.706964732,-0.667439569,-0.759245122,0.717579208,-0.741258153,-0.779775689,-0.718349198,-0.692972384,-0.736869058,-0.747420839,-0.742076231,-0.703162879,-0.780721049,-0.733866678,-0.617635689,-0.695894687,-0.732599628,-0.740814272,-0.722327505,-0.725957183,-0.774323198,-0.681042451,-0.70807008,-0.779171847,-0.736709736,-0.71090413,-0.773086633,-0.753092841,-0.72055157,0.777756885,-0.753541756,-0.768172144,0.750592763,-0.763320946,-0.7312656,-0.728035193
